BTCUSDT
SUIUSDT
ENAUSDT
AAVEUSDT
ETHUSDT
FTMUSDT
SUIBTC
ENABTC
AAVEBTC
BTCUSDC
AAVEUSDC
SUSDC
SBTC
SUIUSDC
OMUSDT
OMBTC
ETHBTC
